client_id,age,sexe,zone,secteur,region,revenu_declare,anciennete_mois,defaut_90j,gt_C_star,gt_income_stab,gt_distress,gt_hidden_support,gt_camf_intensity,gt_p_mensonge,gt_defaut_true,gt_revenu_reel
60,21,M,semi_urbaine,formel,Centre,163000.0,86,0,0.7061,0.7174,-0.0739,-0.8479,0.6401,0.4082,0,163000.0
61,25,M,semi_urbaine,informel,Littoral,38000.0,78,1,-1.1767,-1.9772,1.689,1.1202,0.7831,0.387,1,30000.0
62,24,M,semi_urbaine,formel,Centre,233000.0,1,0,0.6687,1.8771,-0.1873,-1.3341,0.5267,0.3265,0,233000.0
63,18,F,urbaine,formel,Adamaoua,191000.0,58,0,0.1428,1.011,0.3734,0.2828,0.6311,0.2228,0,181000.0
64,26,M,semi_urbaine,informel,Adamaoua,50000.0,22,1,-1.3816,-1.2033,0.3461,-0.0842,0.7864,0.4922,1,48000.0
65,22,F,urbaine,formel,Centre,118000.0,26,1,-0.645,-0.1878,0.5862,-0.4481,0.622,0.3318,1,109000.0
66,20,F,semi_urbaine,formel,Centre,170000.0,20,0,0.643,0.8312,-0.2503,0.472,0.6308,0.0935,0,170000.0
67,22,M,urbaine,formel,Nord-Ouest,248000.0,44,1,-0.7546,1.2798,1.7453,-0.7093,0.4886,0.4932,1,197000.0
68,18,F,semi_urbaine,formel,Sud,167000.0,12,1,-0.69,0.112,2.138,0.8122,0.6032,0.7751,1,127000.0
69,34,F,urbaine,informel,Nord,208000.0,51,0,-0.5221,0.8255,1.4967,0.0568,0.6138,0.555,0,170000.0
70,35,F,urbaine,formel,Extrême-Nord,60000.0,16,1,-2.6423,-1.1928,1.6358,-0.6173,0.4724,0.45,1,48000.0
71,24,M,semi_urbaine,formel,Ouest,93000.0,48,0,1.0639,-0.4425,-1.4246,1.6382,0.5731,0.0493,0,93000.0
72,33,F,semi_urbaine,informel,Littoral,30000.0,60,1,-0.2221,-2.0644,-0.7623,0.5048,0.7956,0.2141,1,30000.0
73,26,F,urbaine,informel,Nord,69000.0,18,0,-0.4897,-0.8974,0.2946,0.6308,0.581,0.5782,0,66000.0
74,34,F,semi_urbaine,informel,Adamaoua,233000.0,10,0,0.8374,1.5081,0.7031,1.7166,0.8094,0.1609,0,210000.0
75,21,M,semi_urbaine,informel,Nord-Ouest,260000.0,77,0,2.0956,2.0578,0.4559,1.7002,0.7703,0.7485,0,243000.0
76,23,F,urbaine,informel,Littoral,134000.0,71,0,0.6669,0.2346,-0.9864,0.5798,0.7789,0.1461,0,134000.0
77,31,F,urbaine,formel,Sud,140000.0,25,0,-1.1039,-0.0384,1.2366,-0.3027,0.4249,0.5402,0,118000.0
78,21,F,urbaine,informel,Adamaoua,152000.0,85,1,-1.4232,-0.2216,2.8223,-1.4297,0.8403,0.7822,1,107000.0
79,32,M,semi_urbaine,informel,Est,191000.0,22,1,-1.5608,0.4733,1.9081,0.5067,0.6356,0.6715,1,148000.0
80,25,M,urbaine,formel,Nord-Ouest,73000.0,89,0,-0.6122,-0.963,1.1445,1.0946,0.295,0.4615,0,62000.0
81,25,M,urbaine,formel,Littoral,127000.0,11,0,0.1974,0.0275,0.3044,0.3543,0.3914,0.1604,0,122000.0
82,26,F,semi_urbaine,formel,Ouest,242000.0,63,0,1.1732,2.0349,-0.7559,-3.1446,0.4356,0.0784,0,242000.0
83,32,F,semi_urbaine,informel,Ouest,63000.0,2,1,-0.6291,-1.0457,0.6943,1.1701,0.6087,0.5831,1,57000.0
84,18,M,semi_urbaine,informel,Littoral,106000.0,19,1,-1.5894,-0.749,2.7798,1.2315,0.8711,0.6389,1,75000.0
85,31,M,semi_urbaine,informel,Littoral,126000.0,39,0,-0.5628,0.0132,0.3004,-0.0012,0.7622,0.3858,0,121000.0
86,32,M,semi_urbaine,formel,Nord,173000.0,9,0,1.3738,0.8831,-0.3553,1.2884,0.4984,0.1368,0,173000.0
87,32,F,semi_urbaine,formel,Sud,140000.0,44,0,-0.8769,-0.025,1.2093,0.928,0.51,0.3126,0,118000.0
88,35,F,semi_urbaine,informel,Nord,158000.0,23,0,-1.6791,0.077,1.8089,-0.3855,0.6758,0.8595,0,125000.0
89,32,M,urbaine,informel,Sud-Ouest,156000.0,10,0,0.7723,0.6079,-0.1888,1.2713,0.7955,0.149,0,156000.0
90,27,M,urbaine,informel,Ouest,250000.0,92,0,0.5904,1.9615,0.355,-1.2675,0.5823,0.2045,0,238000.0
91,26,F,urbaine,informel,Littoral,114000.0,94,0,0.2424,-0.1262,0.1017,-0.0572,0.5181,0.2649,0,112000.0
92,24,M,semi_urbaine,informel,Est,131000.0,92,0,0.0336,-0.0413,0.7413,0.143,0.8579,0.3113,0,118000.0
93,32,M,urbaine,informel,Sud,266000.0,15,0,0.0232,1.5275,1.7246,-0.8254,0.6048,0.6355,0,212000.0
94,25,F,urbaine,informel,Ouest,87000.0,37,0,0.0031,-0.5492,-0.1327,0.3038,0.8564,0.2638,0,87000.0
95,28,M,urbaine,informel,Adamaoua,51000.0,32,0,-1.6256,-1.3244,1.7096,1.3104,0.5995,0.6636,0,41000.0
96,19,F,urbaine,formel,Adamaoua,177000.0,31,0,0.8772,0.8502,0.2257,1.2477,0.62,0.2366,0,171000.0
97,23,F,urbaine,formel,Est,302000.0,40,0,-0.6553,1.6762,2.4495,0.7237,0.6164,0.6185,0,221000.0
98,22,M,semi_urbaine,formel,Littoral,189000.0,49,0,0.2129,0.961,0.434,-1.3959,0.5759,0.3721,0,178000.0
99,25,M,semi_urbaine,formel,Extrême-Nord,150000.0,47,1,0.0121,0.503,0.0078,-1.036,0.5238,0.2042,1,150000.0
100,27,F,urbaine,formel,Est,76000.0,28,0,-0.7543,-0.8484,0.6832,0.1662,0.5426,0.2724,0,69000.0
101,30,M,urbaine,informel,Adamaoua,122000.0,94,0,-0.5501,-0.0584,0.3045,-0.0342,0.7084,0.5404,0,116000.0
102,25,F,urbaine,formel,Ouest,230000.0,94,0,1.3841,1.8332,-1.7349,-0.4981,0.3018,0.0505,0,230000.0
103,20,M,semi_urbaine,informel,Adamaoua,49000.0,32,0,-0.8442,-1.2341,0.4045,2.2053,0.7249,0.5048,0,46000.0
104,27,F,semi_urbaine,informel,Sud-Ouest,111000.0,22,0,0.2932,-0.2447,0.3453,0.4059,0.5079,0.5117,0,105000.0
105,18,M,urbaine,informel,Sud-Ouest,97000.0,51,0,0.1578,-0.3875,-0.9352,0.5424,0.7854,0.2556,0,97000.0
106,33,M,semi_urbaine,informel,Sud,85000.0,36,0,-0.1031,-0.6977,0.572,1.2879,0.7249,0.4824,0,78000.0
107,31,M,urbaine,formel,Nord-Ouest,171000.0,94,0,1.7482,0.8479,-1.9875,0.055,0.3979,0.0436,0,171000.0
108,22,M,urbaine,informel,Littoral,152000.0,41,1,0.774,0.4433,0.2534,2.5911,0.5052,0.3078,1,147000.0
109,22,F,semi_urbaine,formel,Sud,191000.0,4,0,-0.0824,1.0328,0.3445,-0.6404,0.5044,0.243,0,182000.0
110,18,M,urbaine,informel,Adamaoua,68000.0,12,1,-0.7339,-0.9768,0.7333,-0.6061,0.6816,0.1624,1,61000.0
111,24,F,urbaine,formel,Sud,57000.0,8,0,-0.6382,-1.046,-0.3325,-0.9428,0.3927,0.2372,0,57000.0
112,18,M,urbaine,formel,Ouest,172000.0,37,0,1.031,0.8624,0.0224,1.5627,0.5396,0.2436,0,172000.0
113,34,M,semi_urbaine,informel,Centre,90000.0,31,0,0.5352,-0.5059,-0.125,1.1021,0.7955,0.3504,0,90000.0
114,20,F,semi_urbaine,informel,Sud,254000.0,82,1,0.5148,1.8383,0.6978,-0.2442,0.9351,0.3912,1,230000.0
115,29,M,semi_urbaine,informel,Nord-Ouest,258000.0,85,0,1.0648,1.8845,0.7126,-0.5639,0.7726,0.5101,0,233000.0
116,28,M,urbaine,informel,Sud,239000.0,14,0,1.7947,1.9907,-0.2457,1.3849,0.7728,0.1143,0,239000.0
117,22,F,urbaine,formel,Est,105000.0,90,0,0.3281,-0.3401,0.3457,0.3617,0.3898,0.1557,0,100000.0
118,32,F,semi_urbaine,informel,Extrême-Nord,174000.0,56,0,0.3254,0.5694,0.8761,1.7104,0.5734,0.1548,0,154000.0
119,19,F,urbaine,formel,Sud,208000.0,30,0,0.5918,1.471,-0.0717,-0.0601,0.4727,0.1908,0,208000.0
120,33,F,semi_urbaine,formel,Centre,277000.0,39,0,-0.8455,1.3584,2.492,0.8115,0.3546,0.6176,0,202000.0
121,31,F,semi_urbaine,formel,Sud,135000.0,42,0,0.041,0.2456,-0.0271,0.6002,0.5681,0.134,0,135000.0
122,29,M,urbaine,formel,Littoral,233000.0,17,1,0.476,1.8792,-0.2109,-0.6241,0.3414,0.216,1,233000.0
123,33,M,semi_urbaine,formel,Nord-Ouest,156000.0,83,0,0.9662,0.6005,-0.3594,0.1559,0.3149,0.1325,0,156000.0
124,25,F,urbaine,informel,Littoral,128000.0,2,0,-0.4229,0.1281,-0.3036,-1.1843,0.8368,0.1059,0,128000.0
125,23,M,urbaine,formel,Est,71000.0,7,0,-0.8706,-0.9378,0.7693,0.4941,0.4169,0.7149,0,64000.0
126,20,M,urbaine,formel,Nord,195000.0,26,0,1.3553,1.2448,-0.6236,0.7612,0.3131,0.132,0,195000.0
127,34,F,urbaine,informel,Sud-Ouest,106000.0,14,0,-0.4347,-0.2604,0.0749,0.9902,0.7142,0.1704,0,104000.0
128,25,M,semi_urbaine,formel,Littoral,184000.0,6,0,0.5185,1.0648,-0.4331,0.9665,0.5256,0.1099,0,184000.0
129,32,M,semi_urbaine,informel,Ouest,134000.0,37,0,0.2584,0.2351,-0.3164,0.1718,0.8427,0.1996,0,134000.0
130,23,M,semi_urbaine,informel,Est,131000.0,36,1,1.001,0.1809,-1.1023,1.852,0.744,0.1094,0,131000.0
131,35,M,semi_urbaine,formel,Ouest,153000.0,12,0,0.3841,0.5543,-0.3698,1.1923,0.4658,0.2991,0,153000.0
132,33,M,urbaine,informel,Sud,205000.0,77,0,0.76,0.7866,1.5057,1.3885,0.662,0.5763,0,167000.0
133,23,F,urbaine,formel,Est,151000.0,84,0,0.1694,0.4011,0.3084,1.4513,0.5572,0.5227,0,144000.0
134,26,M,semi_urbaine,formel,Extrême-Nord,86000.0,69,0,-0.5354,-0.8552,1.6993,0.1744,0.6937,0.4925,0,69000.0
135,32,M,semi_urbaine,informel,Centre,187000.0,50,0,-0.1718,0.569,1.4006,0.6879,0.7481,0.6263,0,154000.0
136,22,F,urbaine,informel,Nord,84000.0,91,0,-0.2575,-0.809,1.1752,0.7746,0.756,0.6617,0,71000.0
137,18,M,urbaine,informel,Nord,56000.0,34,1,-2.3148,-1.3243,2.5422,-1.1491,0.7978,0.8813,1,41000.0
138,23,F,urbaine,formel,Ouest,95000.0,41,0,-0.3496,-0.4222,0.0045,-1.127,0.5084,0.3755,0,95000.0
139,28,F,urbaine,informel,Ouest,151000.0,2,0,-0.2906,0.2833,0.692,-1.2993,0.6446,0.3681,0,137000.0
140,20,F,semi_urbaine,formel,Sud,152000.0,68,0,0.048,0.5035,0.0841,0.1919,0.4777,0.2266,0,150000.0
141,24,M,urbaine,formel,Nord,37000.0,9,1,-2.1686,-1.5327,1.6537,-0.3333,0.5497,0.2143,1,30000.0
142,34,F,semi_urbaine,formel,Ouest,135000.0,64,0,-0.4627,0.2163,0.1119,-1.1357,0.5468,0.2113,0,133000.0
143,19,F,semi_urbaine,informel,Sud-Ouest,190000.0,75,0,0.3493,1.1692,0.0109,0.4494,0.7957,0.4169,0,190000.0
144,18,F,semi_urbaine,formel,Nord,143000.0,21,0,-0.6665,0.1487,0.7461,0.2044,0.7923,0.4774,0,129000.0
145,25,M,urbaine,informel,Ouest,110000.0,59,0,1.1708,-0.1655,-0.2136,1.1822,0.5132,0.2237,0,110000.0
146,18,M,urbaine,informel,Sud-Ouest,216000.0,29,0,0.3056,1.043,1.2056,2.013,0.8608,0.7511,0,183000.0
147,18,F,semi_urbaine,informel,Est,195000.0,38,0,0.7004,0.7955,1.0799,0.7565,0.8305,0.4357,0,168000.0
148,21,F,semi_urbaine,informel,Sud,194000.0,51,0,0.9519,1.0218,0.4786,-0.3966,0.8401,0.2692,0,181000.0
149,19,M,urbaine,informel,Sud,35000.0,24,0,-1.0503,-2.7726,1.2025,0.6467,0.6833,0.4505,0,30000.0
150,32,F,semi_urbaine,formel,Est,260000.0,76,0,3.0917,2.3335,-1.4169,0.3093,0.3543,0.0374,0,260000.0
151,20,M,urbaine,formel,Extrême-Nord,202000.0,38,0,1.2649,1.2364,0.2611,-0.2401,0.4909,0.3337,0,194000.0
152,27,F,semi_urbaine,informel,Ouest,276000.0,44,1,1.1711,2.4615,0.1998,-0.5616,0.8127,0.3436,0,268000.0
153,30,M,urbaine,formel,Nord,158000.0,78,0,-1.7131,-0.1823,2.9642,-0.4642,0.5095,0.8499,0,109000.0
154,29,F,urbaine,formel,Sud-Ouest,52000.0,22,0,-0.8343,-1.1635,0.2377,-0.1778,0.4096,0.2084,0,50000.0
155,29,F,urbaine,formel,Sud-Ouest,156000.0,43,0,0.91,0.6072,-0.5556,0.8041,0.2038,0.1377,0,156000.0
156,24,M,urbaine,formel,Littoral,139000.0,95,0,1.4928,0.3246,-1.3193,0.511,0.2951,0.022,0,139000.0
157,33,F,urbaine,formel,Littoral,237000.0,38,0,0.6119,1.2537,1.4357,1.8256,0.6516,0.5543,0,195000.0
158,19,M,urbaine,formel,Nord,220000.0,11,0,0.9187,1.6749,-0.2736,0.6743,0.3823,0.1844,0,220000.0
159,19,M,urbaine,informel,Est,115000.0,28,0,-0.4229,-0.0873,-0.1228,0.4243,0.8429,0.1454,0,115000.0
160,33,M,semi_urbaine,formel,Nord-Ouest,151000.0,91,0,0.3655,0.3593,0.423,-0.0062,0.4336,0.2725,0,142000.0
161,19,M,urbaine,informel,Adamaoua,181000.0,73,0,-0.8631,0.5227,1.2909,-1.0375,0.7059,0.5018,0,151000.0
162,21,M,semi_urbaine,informel,Littoral,125000.0,77,0,-1.001,-0.2563,1.3059,-0.2699,0.8597,0.7745,0,105000.0
163,21,F,semi_urbaine,formel,Sud-Ouest,138000.0,25,0,-0.2075,0.26,0.1292,-0.3998,0.5473,0.1394,0,136000.0
164,18,F,urbaine,informel,Sud,205000.0,80,1,-0.6091,1.0371,0.8307,-2.5609,0.8577,0.4866,1,182000.0
165,20,F,urbaine,informel,Sud-Ouest,221000.0,38,0,0.2294,1.2598,0.8771,-1.0086,0.7254,0.2963,0,196000.0
166,28,M,semi_urbaine,informel,Sud-Ouest,213000.0,76,0,0.7019,1.084,0.9998,1.9022,0.8171,0.393,0,185000.0
167,29,F,semi_urbaine,formel,Nord,158000.0,84,0,0.7843,0.4318,0.5348,0.6686,0.5497,0.3424,0,146000.0
168,19,F,urbaine,formel,Centre,35000.0,20,0,-1.7257,-1.5398,1.214,-0.3765,0.5977,0.4172,0,30000.0
169,34,F,semi_urbaine,formel,Adamaoua,152000.0,90,0,0.591,0.4518,0.2009,0.6985,0.7223,0.2455,0,147000.0
170,19,F,urbaine,informel,Est,75000.0,61,1,-0.716,-0.758,-0.1746,-1.9534,0.7112,0.2774,0,75000.0
171,30,F,urbaine,informel,Centre,121000.0,70,0,-0.5898,-0.1297,0.5182,0.2821,0.8123,0.3037,0,112000.0
172,32,F,semi_urbaine,informel,Sud-Ouest,96000.0,72,0,-0.42,-0.6711,1.3929,1.5775,0.6958,0.6866,0,80000.0
173,27,M,urbaine,informel,Sud,119000.0,17,0,0.7921,-0.0207,-1.1372,-0.1211,0.7469,0.0991,0,119000.0
174,26,M,semi_urbaine,informel,Nord-Ouest,58000.0,71,0,0.1993,-1.0393,-1.115,-1.472,0.8289,0.1128,0,58000.0
175,19,M,urbaine,informel,Est,53000.0,21,1,-2.3465,-1.2807,1.5396,-0.4139,0.6064,0.6462,1,43000.0
176,22,F,semi_urbaine,formel,Sud-Ouest,286000.0,26,1,-0.1734,1.8227,1.6526,1.5793,0.6623,0.5802,1,229000.0
177,33,M,urbaine,informel,Nord-Ouest,62000.0,12,0,-0.4317,-0.9697,-0.6405,0.2586,0.6233,0.2333,0,62000.0
178,24,F,urbaine,formel,Est,160000.0,18,0,0.1508,0.6003,0.1747,-1.4183,0.3713,0.2784,0,156000.0
179,18,M,urbaine,formel,Adamaoua,213000.0,93,0,2.1066,1.5545,-0.2857,2.3676,0.5693,0.2183,0,213000.0
180,31,M,urbaine,informel,Ouest,185000.0,32,0,-0.4401,0.9143,0.3701,-1.2538,0.6547,0.2969,0,175000.0
181,30,M,semi_urbaine,informel,Adamaoua,192000.0,37,1,-0.6779,0.7948,0.9579,0.0571,0.762,0.3145,1,168000.0
182,19,F,urbaine,formel,Sud-Ouest,174000.0,46,0,0.6707,0.9029,-1.1913,-1.0374,0.5081,0.0381,0,174000.0
183,18,F,urbaine,informel,Centre,163000.0,68,0,0.2457,0.724,-0.4628,-1.036,0.7221,0.0817,0,163000.0
184,20,M,urbaine,formel,Nord-Ouest,238000.0,55,0,1.4707,1.9731,-0.2088,-0.4522,0.4624,0.3941,0,238000.0
185,18,F,urbaine,formel,Adamaoua,182000.0,51,0,1.1862,1.025,-0.0369,0.6362,0.5424,0.0653,0,182000.0
186,29,F,semi_urbaine,formel,Nord,46000.0,80,0,0.2767,-1.2372,-1.0254,1.5905,0.5028,0.1814,0,46000.0
187,20,F,urbaine,informel,Sud-Ouest,108000.0,48,0,-0.9726,-0.5285,1.4708,-0.3862,0.9057,0.4579,0,88000.0
188,28,F,semi_urbaine,informel,Nord,167000.0,74,0,0.4655,0.6964,0.2098,-0.7101,0.6369,0.4752,0,162000.0
189,21,F,urbaine,formel,Littoral,118000.0,87,0,0.1785,-0.0271,-0.3363,0.4786,0.4274,0.051,0,118000.0
190,35,F,semi_urbaine,formel,Est,268000.0,65,0,1.324,2.2201,0.3767,0.808,0.4702,0.2494,0,253000.0
191,31,M,urbaine,formel,Centre,152000.0,4,0,0.2566,0.5368,0.0041,0.2404,0.6653,0.3956,0,152000.0
192,24,M,urbaine,formel,Sud,183000.0,26,0,-0.1223,0.6852,0.9012,0.2757,0.3186,0.4848,0,161000.0
193,25,M,semi_urbaine,informel,Centre,187000.0,59,0,0.3126,1.1247,-0.2676,0.1874,0.8292,0.1911,0,187000.0
194,19,F,semi_urbaine,informel,Extrême-Nord,109000.0,46,0,0.5311,-0.1828,-0.7285,0.3982,0.8443,0.0562,0,109000.0
195,18,M,semi_urbaine,informel,Est,138000.0,28,0,0.0618,0.1763,0.361,0.1183,0.8541,0.1872,0,131000.0
196,27,F,urbaine,formel,Extrême-Nord,216000.0,32,0,1.5314,1.4991,0.1808,1.0702,0.603,0.4246,0,210000.0
197,18,F,urbaine,informel,Extrême-Nord,32000.0,8,0,-0.2238,-1.4723,-0.5741,2.2285,0.8331,0.1511,0,32000.0
198,29,F,semi_urbaine,formel,Adamaoua,139000.0,23,0,0.7746,0.3147,-1.2824,0.4797,0.5269,0.0761,0,139000.0
199,24,F,urbaine,formel,Est,214000.0,75,0,0.725,1.4292,0.2821,-0.0066,0.4993,0.294,0,206000.0
200,20,M,semi_urbaine,informel,Adamaoua,124000.0,1,0,0.1407,0.0656,-0.1286,0.5559,0.6459,0.1304,0,124000.0
201,27,F,urbaine,informel,Ouest,208000.0,80,0,1.3489,1.4673,-0.8167,-0.6579,0.6791,0.1838,0,208000.0
